,index,point,time,gametime,ash_points,ben_points,server,game_num,point_type
452,16,1,1591318374.814847,1591318212,7,10,0,12,0
453,17,1,1591318385.7403324,1591318212,8,10,0,12,0
454,18,0,1591318396.2186813,1591318212,8,11,1,12,0
455,19,1,1591318401.6077695,1591318212,9,11,1,12,0
456,20,1,1591318410.2106552,1591318212,10,11,0,12,0
457,21,0,1591318422.3205023,1591318212,10,12,0,12,0
458,22,1,1591318428.4284759,1591318212,11,12,1,12,0
459,23,1,1591318436.9452684,1591318212,12,12,1,12,0
460,24,0,1591318452.9237332,1591318212,12,13,0,12,0
461,25,0,1591318459.5116823,1591318212,12,14,0,12,0
462,26,0,1591318476.3821805,1591318212,12,15,1,12,0
463,27,0,1591318485.6925273,1591318212,12,16,1,12,0
464,28,1,1591318495.8044314,1591318212,13,16,0,12,0
